,p_name,p_address,p_rating,p_category,p_tag,p_review,p_url
25,배내고개,울산 울주군 상북면 양등리,0.0,고개,"['#아이와놀자', '#어린이테마파크']",./kakao_reviews/울산 명소/배내고개.csv,https://place.map.kakao.com/19157392
26,치술령,울산 울주군 두동면 월평리 산 155,0.0,고개,태그 없음,./kakao_reviews/울산 명소/치술령.csv,https://place.map.kakao.com/1864300516
27,허고개,울산 울주군 범서읍 중리,0.0,고개,태그 없음,리뷰 없음,https://place.map.kakao.com/25395273
28,기백이재,울산 북구 매곡동,0.0,고개,태그 없음,리뷰 없음,https://place.map.kakao.com/8237151
29,운문재,울산 울주군 상북면 덕현리,0.0,고개,태그 없음,리뷰 없음,https://place.map.kakao.com/25330965
30,동사대고개,울산 울주군 서생면 신암리,0.0,고개,태그 없음,리뷰 없음,https://place.map.kakao.com/10296946
31,방어진 공원골프연습장,울산 동구 봉수로 235,2.0,골프연습장,태그 없음,./kakao_reviews/울산 공원/방어진 공원골프연습장.csv,https://place.map.kakao.com/10146500
32,송정박상진호수공원 제2.3공영주차장,울산 북구 송정동 1145,0.0,공영주차장,태그 없음,리뷰 없음,https://place.map.kakao.com/1573609116
33,태화강체육공원 공영주차장2,울산 중구 성남동 216,5.0,공영주차장,태그 없음,리뷰 없음,https://place.map.kakao.com/1200041101
34,문화공원 지하주차장,울산 남구 돋질로 211,0.0,공영주차장,태그 없음,./kakao_reviews/울산 공원/문화공원 지하주차장.csv,https://place.map.kakao.com/2048513066
35,학성공원 공영주차장,울산 중구 학성동 196-1,0.0,공영주차장,태그 없음,리뷰 없음,https://place.map.kakao.com/122093411
36,화봉제1공원 공영주차장,울산 북구 화봉동 445-1,0.0,공영주차장,태그 없음,./kakao_reviews/울산 공원/화봉제1공원 공영주차장.csv,https://place.map.kakao.com/591079972
37,구슬공원,울산 남구 무거동 477-3,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/229160090
38,참새미공원,울산 중구 성안동 784-1,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/646146574
39,우정어린이공원,울산 중구 우정동,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/26177458
40,새롬공원,울산 남구 달동 1307-5,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18213249
41,오뚜기공원,울산 북구 호계동 256,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1347519362
42,격동공원,울산 남구 옥동 258-3,5.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18213700
43,바라미공원,울산 남구 무거동 1466-1,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18203828
44,갈밭공원,울산 남구 삼산동 1595,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18203875
45,소공원,울산 울주군 온산읍 덕남로 26,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1620626884
46,산음수변공원,울산 북구 산하동 826-2,0.0,공원,태그 없음,./kakao_reviews/울산 공원/산음수변공원.csv,https://place.map.kakao.com/1830599789
47,힐링공원,울산 울주군 온양읍 발리 1312,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1476371975
48,종달새공원,울산 북구 호계동 276-4,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1347208165
49,행복공원,울산 중구 학성동 463-1,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/27418830
50,덕신제2공원,울산 울주군 온산읍 덕신리 산 120-13,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/140862945
51,돌안공원,울산 동구 전하동 544,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/689899859
52,울산상안어린이공원,울산 북구 상안동 352,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/26272227
53,유정공원,울산 중구 약사동 851-4,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/85923121
54,주개네공원,울산 울주군 범서읍 구영리,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/27392607
55,매디공원,울산 울주군 삼남읍 교동리 1592-1,5.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/26276874
56,상평공원,울산 울주군 삼남읍 교동리 1697-8,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/830933279
57,진이공원,울산 울주군 온양읍 대안리,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/26245233
58,산학공원,울산 남구 무거동 575-1,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1365058392
59,푸른공원,울산 남구 동산로69번길 13,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1369326076
60,옥현공원,울산 남구 옥현로58번길 40,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1369165533
61,쿵구공원,울산 동구 방어동 1118,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18204000
62,산성이공원,울산 동구 봉수로 250,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1291967105
63,중산어린이공원,울산 북구 중산동 569,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/26208669
64,미르공원,울산 울주군 범서읍 굴화리 749,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1895411195
65,촛등공원,울산 동구 방어동 1059,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18213255
66,함월공원,울산 중구 성안동 809-3,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/27418761
67,번영소공원,울산 남구 신정동 1912,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1369059182
68,운곡공원,울산 중구 다운동 516-1,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/27418857
69,솔기지공원,울산 울주군 언양읍 동부리,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/27392602
70,일산천청소년문화거리,울산 동구 화정동 237-7,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/27387782
71,우암공원,울산 중구 우정동 281-45,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/27418854
72,장현어린이공원,울산 중구 장현동 189,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1373470825
73,신기공원,울산 중구 태화동 453-10,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/27053959
74,동진마을쉼터,울산 동구 방어동 169-1,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1310430584
75,미암공원,울산 동구 방어동 1000-6,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18213797
76,울산대공원 환경테마놀이시설,울산 남구 옥동 380,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/17562755
77,꿈마루어린이공원,울산 울주군 범서읍 굴화리 750,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1947623617
78,끝작공원,울산 동구 방어동 1029,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18204003
79,꽃바우공원,울산 동구 방어동 977-1,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18213707
80,산생공원,울산 동구 전하동 738-1,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18203975
81,토리공원,울산 울주군 온양읍 대안리 408-3,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/26264896
82,청조공원,울산 울주군 삼남읍 교동리 1649-1,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/27392605
83,신복공원,울산 남구 무거동 327-26,0.0,공원,['#제로페이'],리뷰 없음,https://place.map.kakao.com/18203933
84,움골공원,울산 남구 옥동 279-4,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18213245
85,아라공원,울산 북구 화봉동 1339-3,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1871192453
86,두왕어린이공원,울산 남구 두왕동 754-1,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1384560906
87,화봉동공원,울산 북구 화봉동 468-1,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18203622
88,까치공원,울산 동구 방어동 909-16,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18203990
89,길촌길 다복다복생활공원,울산 중구 유곡동 산 28-1,0.0,공원,태그 없음,./kakao_reviews/울산 공원/길촌길 다복다복생활공원.csv,https://place.map.kakao.com/1488712598
90,굴화공원,울산 남구 굴화4길 20,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1384211236
91,상아소공원,울산 남구 신정동 1899,5.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1369251181
92,샘골공원,울산 남구 무거동 470,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18203851
93,하나공원,울산 남구 달동 1377-6,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18203885
94,햇빛공원,울산 중구 성안동 854-6,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/27584572
95,버들공원,울산 울주군 삼남읍 방기리 543-1,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1463828984
96,늘푸른 공원,울산 남구 삼산동 1476-5,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18204193
97,밤밭골공원,울산 울주군 범서읍 구영리,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/26295487
98,해오름공원,울산 중구 남외동 501-2,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/27418852
99,중앙소공원,울산 남구 신정동 324,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1385970663
100,송학공원,울산 중구 서원1길 96,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/27419295
101,서남공원,울산 울주군 범서읍 구영리,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/27392609
102,방기어린이공원,울산 울주군 삼남읍 방기리 623-3,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/229433588
103,백양공원,울산 중구 성안동 489-5,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/27418766
104,가람공원,울산 남구 삼산동 1459-2,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18213189
105,한울공원,울산 울주군 범서읍 천상리 649-2,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/44482950
106,소바우공원,울산 중구 우정동 525-3,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1877206563
107,비나리공원,울산 울주군 범서읍 천상6길 24-6,0.0,공원,태그 없음,./kakao_reviews/울산 공원/비나리공원.csv,https://place.map.kakao.com/26171883
108,다정공원,울산 남구 삼산동 182-3,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1384100282
109,한울 유도 스포츠클럽,울산 북구 매곡1로 13,0.0,공원,태그 없음,./kakao_reviews/울산 공원/한울 유도 스포츠클럽.csv,https://place.map.kakao.com/666942874
110,남목체육소공원,울산 동구 안산로 50-3,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/15148840
111,새터공원,울산 중구 태화동 478-1,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/27418959
112,안산공원,울산 북구 연암동 311,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1503139290
113,옥신소공원,울산 남구 신정동 1885,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/652670214
114,누리공원,울산 울주군 범서읍 천상리 609-7,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/27392610
115,옥류공원,울산 동구 동부동 산 147-1,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1075690005
116,갓안공원,울산 동구 화정동 146-8,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18213786
117,복지공원,울산 중구 성안동 486-5,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/26144931
118,감나무공원,울산 남구 삼산동 164,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1384161738
119,보예공원,울산 울주군 온양읍 대안리 197-4,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18203477
120,대안공원,울산 울주군 온양읍 대안리 750-5,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/234930153
121,애니원공원,울산 중구 성안동 477-1,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/26146851
122,번덕공원,울산 동구 일산동 536-3,0.0,공원,태그 없음,./kakao_reviews/울산 공원/번덕공원.csv,https://place.map.kakao.com/18213201
123,명촌근린공원,울산 북구 명촌동 864,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1477680774
124,화봉제1어린이공원,울산 북구 화봉동,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/26166672
125,애견운동공원,울산 남구 남부순환도로 209,3.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/19440362
126,망개산공원,울산 동구 방어진순환도로 100,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/901492771
127,복지불공원,울산 동구 방어동 1089-1,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18203996
128,홈골수변공원,울산 북구 호계동 산 35-1,5.0,공원,태그 없음,./kakao_reviews/울산 공원/홈골수변공원.csv,https://place.map.kakao.com/333822001
129,아리솔공원,울산 울주군 삼남읍 교동리 1605-3,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/27392604
130,누리에공원,울산 남구 무거동 281-1,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18203799
131,어울공원,울산 남구 달동 1373-1,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/26243853
132,신천자연마당 생태습지,울산 북구 신천동 572,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1400946418
133,굴화강변공원,울산 남구 무거동 261,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/27048190
134,다전생태공원,울산 중구 다운동 633,4.5,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/586784815
135,대현공원,울산 남구 야음동 913,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1160413122
136,천곡샘골생태공원,울산 북구 천곡동 945-1,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1619432876
137,박상진의사 송정역사공원,울산 북구 박상진5로 10,4.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/2047500723
138,왕생이공원,울산 남구 달동 1345-6,5.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18213192
139,가시나무공원,울산 남구 무거동 1206,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18203802
140,해변수변공원,울산 북구 구유동 355-3,4.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/26829243
141,대청공원,울산 동구 화정동 608-14,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18203985
142,목화공원,울산 남구 달동 1268-7,5.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18213195
143,평동공원,울산 중구 평동3길 1,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/27418866
144,거마공원,울산 남구 신정동 1847-1,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/949618894
145,느티공원,울산 남구 달동 1392-3,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/15289903
146,풀빛공원,울산 남구 삼산동 1549-1,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18213241
147,슬도공원,울산 동구 방어동 948-2,4.4,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/27288877
148,오산공원,울산 남구 돋질로401번길 12,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1384147526
149,달천철장유적공원,울산 북구 달천동 1-7,0.0,공원,태그 없음,./kakao_reviews/울산 공원/달천철장유적공원.csv,https://place.map.kakao.com/845100184
150,명덕호수공원,울산 동구 전하동 산 155,5.0,공원,"['#걷기좋은', '#단풍명소', '#포토존']",리뷰 없음,https://place.map.kakao.com/17068829
151,은월공원,울산 남구 옥동 1388-16,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1364659008
152,미골공원,울산 남구 두왕동 749-2,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1369710145
153,온덕공원,울산 울주군 온산읍 온덕4길 14,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/27392635
154,염포체육공원,울산 북구 새장터8길 23-5,3.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1496748437
155,천상공원,울산 울주군 범서읍 천상길 25,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1730679614
156,포그니공원,울산 남구 삼산동 1560-5,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18203841
157,자두공원,울산 남구 달동 1260-1,0.0,공원,태그 없음,./kakao_reviews/울산 공원/자두공원.csv,https://place.map.kakao.com/14978507
158,화동못수변공원,울산 북구 화봉동,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/25922624
159,온양체육공원,울산 울주군 온양읍 외고산옹기길 154,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/27535302
160,범서생활체육공원,울산 울주군 범서읍 천상중앙길 34,4.0,공원,['#나들이'],./kakao_reviews/울산 공원/범서생활체육공원.csv,https://place.map.kakao.com/12007068
161,쇠평어린이공원,울산 동구 동부동,3.4,공원,['#걷기좋은'],리뷰 없음,https://place.map.kakao.com/21657050
162,솔개공원,울산 울주군 서생면 해맞이로 1416,0.0,공원,태그 없음,./kakao_reviews/울산 공원/솔개공원.csv,https://place.map.kakao.com/899582506
163,선바위 공원,울산 울주군 범서읍 입암리 129-1,0.0,공원,"['#걷기좋은', '#단풍명소']",리뷰 없음,https://place.map.kakao.com/15112321
164,햇살공원,울산 남구 달동 1349-2,5.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18213244
165,기박산성의병역사공원,울산 북구 매곡동 838-31,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/750497458
166,동평공원,울산 남구 달동 134-1,0.0,공원,['#걷기좋은'],./kakao_reviews/울산 공원/동평공원.csv,https://place.map.kakao.com/18203946
167,문수마로니에공원,울산 남구 무거동 산 47-1,5.0,공원,태그 없음,./kakao_reviews/울산 공원/문수마로니에공원.csv,https://place.map.kakao.com/1637877843
168,신선소공원,울산 남구 야음동 940,0.0,공원,"['#안심식당', '#제로페이']",./kakao_reviews/울산 공원/신선소공원.csv,https://place.map.kakao.com/658078463
169,장무공원,울산 중구 학성동 409-2,5.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1922837256
170,온누리공원,울산 북구 매곡동 산 90,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/2133978913
171,오치골공원,울산 북구 양정동 776-21,5.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1260153762
172,남외공원,울산 중구 남외동 996-8,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/27418834
173,불고기팜농어촌테마공원,울산 울주군 상북면 지내리 6,0.0,공원,['#걷기좋은'],./kakao_reviews/울산 공원/불고기팜농어촌테마공원.csv,https://place.map.kakao.com/778938870
174,삼호공원,울산 남구 삼호로11번길 4-11,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/26388482
175,진등공원,울산 남구 무거동 625-15,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1364848952
176,목거랑공원,울산 동구 방어동 121-2,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18213252
177,희망공원,울산 북구 호계동 262-1,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1347658762
178,해연공원,울산 남구 무거동 1525,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18198764
179,울산여천 메타세쿼이아길,울산 남구 여천동 1193,1.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1137665158
180,양지공원,울산 중구 다운동 600-10,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/27418819
181,봉월공원,울산 남구 신정동 1316-35,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18203843
182,늘봄공원,울산 남구 무거동,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/15148952
183,명정공원,울산 중구 오산2길 98-13,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/27418896
184,정다운공원,울산 남구 달동 1352-1,5.0,공원,태그 없음,./kakao_reviews/울산 공원/정다운공원.csv,https://place.map.kakao.com/18203615
185,다감공원,울산 남구 삼산동 182-2,0.0,공원,"['#산책로', '#야영장', '#오션뷰', '#오토캠핑', '#우중캠핑', '#차박', '#카라반', '#캠핑장']",./kakao_reviews/울산 공원/다감공원.csv,https://place.map.kakao.com/1384136154
186,한서공원,울산 울주군 삼남읍 교동리 1584-1,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/26171884
187,함박산공원,울산 남구 두왕동 767-1,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1369303937
188,새싹공원,울산 남구 옥동 263-2,0.0,공원,태그 없음,./kakao_reviews/울산 공원/새싹공원.csv,https://place.map.kakao.com/18203882
189,무둔실공원,울산 남구 신정동 78-4,0.0,공원,태그 없음,./kakao_reviews/울산 공원/무둔실공원.csv,https://place.map.kakao.com/18203833
190,무일공원,울산 남구 무거동 1442-1,0.0,공원,태그 없음,./kakao_reviews/울산 공원/무일공원.csv,https://place.map.kakao.com/2070259487
191,구교공원,울산 중구 반구동 38-3,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/27418888
192,이수공원,울산 남구 삼산동 1654-4,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18203874
193,비단공원,울산 남구 신정동 161-1,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/26145265
194,청구뜰공원,울산 중구 성안동 370-2,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/27584484
195,화암추공원,울산 동구 화잠7길 25,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18204001
196,삼산공원,울산 남구 삼산동 1601-4,5.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18203877
197,한빛공원,울산 남구 삼산동 1573-1,4.3,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/246515206
198,남목생활공원,울산 동구 동부동 163,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1078172217
199,마루공원,울산 울주군 범서읍 천상5길 6-7,0.0,공원,태그 없음,./kakao_reviews/울산 공원/마루공원.csv,https://place.map.kakao.com/44399128
200,연암생태공원,울산 북구 효문동 855,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/834756386
201,해죽공원,울산 남구 삼산동 200-1,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/556902861
202,하평공원,울산 울주군 삼남읍 교동리 1678-2,0.0,공원,태그 없음,./kakao_reviews/울산 공원/하평공원.csv,https://place.map.kakao.com/830943825
203,다운자전거연습장,울산 중구 다운동 479,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/25155826
204,중국요양시백탑공원,울산 남구 매암동 247,4.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/1270955989
205,신온공원,울산 울주군 온산읍 덕신리,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/26117448
206,양정소공원,울산 북구 양정동 500-41,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/429365915
207,한결공원,울산 중구 한결길 24,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18203643
208,금호공원,울산 중구 성안동 858-2,0.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/27584503
209,화진공원,울산 중구 화진4길 49,0.0,공원,['#억새밭'],./kakao_reviews/울산 공원/화진공원.csv,https://place.map.kakao.com/27419289
210,울산해양공원,울산 남구 매암동,4.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/26183769
211,이슬공원,울산 남구 삼산동 1553-1,5.0,공원,태그 없음,리뷰 없음,https://place.map.kakao.com/18198765
